,Dataset,Classifier,Training accuracy,Validation accuracy,Classifier object
143,"['TFIDF', 'stem', None, (2, 2)]",svm,0.739035685099428,0.7495403472931563,"{'clf__C': 10, 'clf__kernel': 'linear'}"
144,"['TFIDF', 'lemmatize', 'english', (1, 1)]",randomforests,0.6879596840098066,0.6966292134831461,{'clf__n_estimators': 1000}
145,"['TFIDF', 'lemmatize', 'english', (1, 1)]",logreg,0.798011441024244,0.7989785495403473,"{'clf__C': 10, 'clf__penalty': 'l2'}"
146,"['TFIDF', 'lemmatize', 'english', (1, 1)]",xgboost,0.717583764641787,0.7311542390194076,{'clf__n_estimators': 1000}
147,"['TFIDF', 'lemmatize', 'english', (1, 1)]",knn,0.6951784254971397,0.686414708886619,{'clf__n_neighbors': 100}
148,"['TFIDF', 'lemmatize', 'english', (1, 1)]",nb,0.8071370198855897,0.8134831460674158,"{'clf__alpha': 1, 'clf__fit_prior': False}"
149,"['TFIDF', 'lemmatize', 'english', (1, 1)]",svm,0.7860937074366657,0.783043922369765,"{'clf__C': 1, 'clf__kernel': 'linear'}"
150,"['TFIDF', 'lemmatize', 'english', (1, 2)]",randomforests,0.6938163988014165,0.706435137895812,{'clf__n_estimators': 1000}
151,"['TFIDF', 'lemmatize', 'english', (1, 2)]",logreg,0.8010760010896214,0.8034729315628192,"{'clf__C': 100, 'clf__penalty': 'l2'}"
152,"['TFIDF', 'lemmatize', 'english', (1, 2)]",xgboost,0.7119994551893217,0.7242083758937692,{'clf__n_estimators': 1000}
153,"['TFIDF', 'lemmatize', 'english', (1, 2)]",knn,0.680536638518115,0.6866189989785495,{'clf__n_neighbors': 100}
154,"['TFIDF', 'lemmatize', 'english', (1, 2)]",nb,0.80305093979842,0.812461695607763,"{'clf__alpha': 1, 'clf__fit_prior': False}"
155,"['TFIDF', 'lemmatize', 'english', (1, 2)]",svm,0.7998501770634704,0.7955056179775281,"{'clf__C': 1, 'clf__kernel': 'linear'}"
156,"['TFIDF', 'lemmatize', 'english', (2, 2)]",randomforests,0.4917597384908744,0.49867211440245146,{'clf__n_estimators': 1000}
157,"['TFIDF', 'lemmatize', 'english', (2, 2)]",logreg,0.5958866793789158,0.6202247191011236,"{'clf__C': 100, 'clf__penalty': 'l2'}"
